Nutrient,Current Daily Value
Biotin,30mcg
Calcium,1300mg
Calories,2000
Calories from Fat,600
Carbohydrates,275g
Chloride,2300mg
Cholesterol,300mg
Choline,550mg
Chromium,35mcg
Copper,0.9mg
Dietary Fiber,28g
Folate/Folic Acid,400mcg DFE
Iodine,150mcg
Iron,18mg
Magnesium,420mg
Manganese,2.3mg
Molybdenum,45mcg
Niacin,16mg NE
Pantothenic Acid,5mg
Phosphorus,1250mg
Potassium,4700mg
Protein,50g
Riboflavin,1.3mg
Saturated Fat,20g
Selenium,55mcg
Sodium,2300mg
Sugars,50g
Thiamin,1.2mg
Total Fat,78g
Trans Fat,2.2
Vitamin A,900mcg RAE
Vitamin B12,2.4mcg
Vitamin B6,1.7mg
Vitamin C,90mg
Vitamin D,20mcg
Vitamin E,15mg alpha-tocopherol
Vitamin K,120mcg
Zinc,11mg
